Permit_Type,Project,Project_Valuation,Total_SQFT,PSFEE,PAFEE,UTFEE,CDFEE,TotalFeeInvoiced,GeoCluster
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
RE-ROOF,RESIDENTIAL,4000.0,0,0,0,0.0,51.33,51.33,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
RE-ROOF,RESIDENTIAL,4000.0,0,0,0,0.0,51.33,51.33,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,3
RE-ROOF,RESIDENTIAL,24912.0,0,0,0,0.0,174.5,174.5,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,36.75,41.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,36.75,41.25,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,140.0,140.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,36.75,41.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,36.75,41.25,3
RE-ROOF,RESIDENTIAL,17562.0,0,0,0,0.0,131.21,131.21,3
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,47.25,47.25,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,3.0,72.75,75.75,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,35.25,35.25,4
RE-ROOF,RESIDENTIAL,15737.0,0,0,0,0.0,120.46,120.46,4
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,227.75,227.75,1
NEW,RESIDENTIAL,177000.0,1635,712,2600,1358.0,228.9,6256.9,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,2
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,55.0,55.0,4
RE-ROOF,RESIDENTIAL,8546.0,0,0,0,0.0,78.11,78.11,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,38.25,38.25,3
NEW,RESIDENTIAL,160000.0,2177,639,2600,1358.0,304.78,4901.78,1
RE-ROOF,RESIDENTIAL,3500.0,0,0,0,0.0,48.38,48.38,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,38.25,38.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,38.25,38.25,0
PERMANENT,SIGN,0.0,0,0,0,0.0,30.0,30.0,3
RE-ROOF,RESIDENTIAL,18359.0,0,0,0,0.0,135.9,135.9,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,COMMERCIAL,0.0,0,0,0,13.5,101.75,115.25,3
RE-ROOF,RESIDENTIAL,11500.0,0,0,0,0.0,95.5,95.5,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,1
RE-ROOF,RESIDENTIAL,13846.0,0,0,0,0.0,113.21,113.21,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,2
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,2
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,33.75,33.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,1
PLUMBING,COMMERCIAL,0.0,0,0,0,0.0,177.75,177.75,3
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,1
RE-ROOF,COMMERCIAL,41700.0,0,0,0,0.0,247.44,247.44,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,5
RE-ROOF,RESIDENTIAL,6615.0,0,0,0,0.0,133.46,133.46,0
ADDITION,RESIDENTIAL,38000.0,9045,0,0,0.0,228.9,228.9,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,38.25,38.25,3
NEW,RESIDENTIAL,191480.0,2555,835,0,1358.0,357.71,2550.71,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
RE-ROOF,RESIDENTIAL,11200.0,0,0,0,0.0,93.74,93.74,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,80.0,80.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,110.0,110.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,61.25,61.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,7.5,27.75,35.25,0
RE-ROOF,RESIDENTIAL,8475.0,0,0,0,0.0,77.69,77.69,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,90.0,90.0,3
ADDITION,RESIDENTIAL,10000.0,1460,0,0,0.0,42.49,42.49,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
RE-ROOF,RESIDENTIAL,12533.0,0,0,0,0.0,101.59,101.59,0
RE-ROOF,RESIDENTIAL,14000.0,0,0,0,0.0,110.23,110.23,5
RE-ROOF,RESIDENTIAL,8960.0,0,0,0,0.0,80.54,80.54,1
NEW,RESIDENTIAL,120000.0,2120,712,2600,1358.0,296.8,4966.8,0
RE-ROOF,RESIDENTIAL,4353.0,0,0,0,0.0,52.82,52.82,4
PLUMBING,COMMERCIAL,0.0,0,0,0,0.0,66.75,66.75,1
ADDITION,RESIDENTIAL,2500.0,537,0,0,0.0,75.19,75.19,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,66.75,66.75,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,90.0,90.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
RE-ROOF,RESIDENTIAL,4100.0,0,0,0,0.0,51.92,51.92,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,1
PERMANENT,SIGN,0.0,0,0,0,0.0,25.0,25.0,4
RE-ROOF,RESIDENTIAL,2117.0,0,0,0,0.0,40.24,40.24,4
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
RE-ROOF,RESIDENTIAL,7616.0,0,0,0,0.0,72.63,72.63,4
ALTERATION,COMMERCIAL,500000.0,0,0,0,14703.0,3689.6,18392.6,4
NEW,RESIDENTIAL,229478.0,2119,639,2600,3138.0,296.67,6673.67,5
NEW,RESIDENTIAL,174742.0,2131,712,2600,2751.0,298.35,6361.35,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,4
RE-ROOF,RESIDENTIAL,10831.0,0,0,0,0.0,91.56,91.56,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
RE-ROOF,RESIDENTIAL,11097.0,0,0,0,0.0,93.13,93.13,4
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,210.0,210.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,60.0,60.0,3
RE-ROOF,RESIDENTIAL,10615.0,0,0,0,0.0,80.29,80.29,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,68.75,68.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,72.75,86.25,1
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,625.0,625.0,4
NEW,RESIDENTIAL,181990.0,2315,639,2600,1358.0,324.11,4921.11,1
NEW,RESIDENTIAL,171990.0,2066,639,2600,1358.0,289.24,4886.24,1
NEW,RESIDENTIAL,187990.0,2070,712,2600,1358.0,289.8,4959.8,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,72.75,86.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,72.75,86.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,3
ALTERATION,RESIDENTIAL,21969.0,0,0,0,0.0,157.17,157.17,3
RE-ROOF,RESIDENTIAL,10017.0,0,0,0,0.0,86.77,86.77,4
RE-ROOF,RESIDENTIAL,16000.0,0,0,0,0.0,122.01,122.01,0
RE-ROOF,RESIDENTIAL,8877.0,0,0,0,0.0,80.05,80.05,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,6.0,27.75,33.75,5
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,85.0,85.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ADDITION,COMMERCIAL,4000.0,0,0,0,0.0,51.33,51.33,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,60.0,60.0,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,80.0,80.0,3
RE-ROOF,RESIDENTIAL,7000.0,0,0,0,0.0,69.0,69.0,1
RE-ROOF,RESIDENTIAL,8865.0,0,0,0,0.0,79.98,79.98,3
RE-ROOF,RESIDENTIAL,6000.0,0,0,0,0.0,63.11,63.11,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,100.0,100.0,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,33.75,33.75,0
RE-ROOF,RESIDENTIAL,7607.0,0,0,0,0.0,76.3,76.3,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
RE-ROOF,RESIDENTIAL,38359.0,0,0,0,0.0,230.73,230.73,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,140.0,140.0,4
NEW,RESIDENTIAL,229900.0,2038,712,2600,3138.0,285.32,3597.32,5
NEW,COMMERCIAL,370000.0,0,1588,0,3372.0,1316.09,6276.09,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,207.0,220.5,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,54.75,68.25,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,45.25,45.25,1
RE-ROOF,RESIDENTIAL,6000.0,0,0,0,0.0,63.11,63.11,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,81.75,95.25,0
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,5
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,1
RE-ROOF,RESIDENTIAL,12200.0,0,0,0,0.0,99.63,99.63,0
ADDITION,RESIDENTIAL,15000.0,2288,0,0,0.0,58.24,58.24,0
NEW,RESIDENTIAL,255549.0,2785,887,2600,1358.0,389.91,5234.91,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,1
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,69.25,69.25,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
RE-ROOF,RESIDENTIAL,11220.0,0,0,0,0.0,187.72,187.72,1
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,625.0,625.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,3.0,27.75,30.75,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,75.25,75.25,0
PLUMBING,COMMERCIAL,0.0,0,0,0,13.5,87.75,101.25,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,60.0,60.0,4
RE-ROOF,RESIDENTIAL,10000.0,0,0,0,0.0,86.67,86.67,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,90.0,90.0,3
PLUMBING,COMMERCIAL,0.0,0,0,0,6.0,27.75,33.75,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.75,48.75,1
RE-ROOF,RESIDENTIAL,8000.0,0,0,0,0.0,74.89,74.89,4
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,4
RE-ROOF,RESIDENTIAL,22500.0,0,0,0,0.0,160.29,160.29,0
NEW,RESIDENTIAL,250000.0,2705,639,2600,1358.0,378.71,4975.71,1
PLUMBING,COMMERCIAL,0.0,0,0,0,13.5,81.75,95.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,61.5,61.5,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,0
ALTERATION,RESIDENTIAL,1500.0,0,0,0,0.0,40.69,40.69,1
RE-ROOF,RESIDENTIAL,12000.0,0,0,0,0.0,98.45,98.45,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,4
RE-ROOF,RESIDENTIAL,8656.0,0,0,0,0.0,78.75,78.75,0
RE-ROOF,RESIDENTIAL,9531.0,0,0,0,0.0,83.91,83.91,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,10.5,27.75,38.25,0
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,5
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,135.75,135.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,72.75,86.25,5
NEW,RESIDENTIAL,181990.0,2315,639,2600,1358.0,354.11,4951.11,1
NEW,RESIDENTIAL,165990.0,1857,712,2600,1358.0,259.98,4929.98,0
NEW,RESIDENTIAL,169990.0,2066,639,2600,1358.0,289.24,4886.24,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
NEW,RESIDENTIAL,181990.0,2315,639,2600,1358.0,354.11,4951.11,1
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,105.0,105.0,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,5
NEW,RESIDENTIAL,211407.0,1943,639,2600,3138.0,272.03,6649.03,5
NEW,RESIDENTIAL,261144.0,2650,639,2600,3138.0,371.0,6748.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
RE-ROOF,RESIDENTIAL,13149.0,0,0,0,0.0,105.22,105.22,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,3.0,63.75,66.75,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
RE-ROOF,RESIDENTIAL,1056.0,0,0,0,0.0,35.94,35.94,3
NEW,RESIDENTIAL,141410.0,1589,552,0,1358.0,222.47,2132.47,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,61.75,61.75,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,10.5,69.75,80.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,4
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,4
PLUMBING,COMMERCIAL,0.0,0,0,0,4.5,27.75,32.25,3
MECHANICAL,COMMERCIAL,0.0,0,0,0,0.0,37.75,37.75,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
RE-ROOF,RESIDENTIAL,13665.0,0,0,0,0.0,108.26,108.26,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,27.75,27.75,3
RE-ROOF,RESIDENTIAL,14000.0,0,0,0,0.0,116.7,116.7,1
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
PLUMBING,COMMERCIAL,0.0,0,0,0,7.5,84.75,92.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,2
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,96.25,96.25,1
RE-ROOF,RESIDENTIAL,1500.0,0,0,0,0.0,40.69,40.69,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,66.25,66.25,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,70.75,70.75,1
RE-ROOF,RESIDENTIAL,2800.0,0,0,0,0.0,44.26,44.26,0
RE-ROOF,RESIDENTIAL,12862.0,0,0,0,0.0,103.53,103.53,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,99.75,113.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,51.75,51.75,1
RE-ROOF,RESIDENTIAL,7000.0,0,0,0,0.0,69.0,69.0,0
RE-ROOF,RESIDENTIAL,6636.0,0,0,0,0.0,65.97,65.97,0
RE-ROOF,RESIDENTIAL,10474.0,0,0,0,0.0,89.46,89.46,4
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,1
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,330.0,330.0,3
RE-ROOF,RESIDENTIAL,5783.0,0,0,0,0.0,61.83,61.83,1
ALTERATION,RESIDENTIAL,7500.0,0,0,0,0.0,71.94,71.94,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
RE-ROOF,RESIDENTIAL,5100.0,0,0,0,0.0,57.81,57.81,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,7.5,137.0,144.5,3
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,32.25,32.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,33.75,33.75,4
PERMANENT,SIGN,0.0,0,0,0,0.0,50.0,50.0,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,75.25,75.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,48.25,48.25,5
PERMANENT,SIGN,0.0,0,0,0,0.0,15.0,15.0,5
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,55.0,55.0,5
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,70.0,70.0,3
PERMANENT,SIGN,0.0,0,0,0,0.0,20.0,20.0,0
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,70.0,70.0,0
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,45.25,45.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,45.25,45.25,5
MECHANICAL,RESIDENTIAL,0.0,0,0,0,0.0,45.25,45.25,5
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,2
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,96.75,110.25,2
RE-ROOF,RESIDENTIAL,5760.0,0,0,0,0.0,61.7,61.7,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,66.75,80.25,1
PLUMBING,RESIDENTIAL,0.0,0,0,0,13.5,105.75,119.25,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,55.0,55.0,5
PLUMBING,COMMERCIAL,0.0,0,0,0,0.0,66.75,66.75,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,1
RE-ROOF,COMMERCIAL,20590.0,0,0,0,0.0,149.04,149.04,4
RE-ROOF,RESIDENTIAL,13000.0,0,0,0,0.0,104.34,104.34,4
RE-ROOF,RESIDENTIAL,8300.0,0,0,0,0.0,76.66,76.66,4
RE-ROOF,RESIDENTIAL,8000.0,0,0,0,0.0,74.89,74.89,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,110.0,110.0,5
RE-ROOF,RESIDENTIAL,1400.0,0,0,0,0.0,39.63,39.63,3
RE-ROOF,RESIDENTIAL,12348.0,0,0,0,0.0,100.5,100.5,0
ALTERATION,RESIDENTIAL,2000.0,0,0,0,0.0,92.1,92.1,3
ELECTRICAL,COMMERCIAL,0.0,0,0,0,0.0,110.0,110.0,3
NEW,RESIDENTIAL,166990.0,1857,712,2600,1358.0,259.98,4929.98,0
PLUMBING,RESIDENTIAL,0.0,0,0,0,0.0,30.75,30.75,1
ALTERATION,COMMERCIAL,341729.0,0,0,0,0.0,1236.3,1236.3,4
PLUMBING,RESIDENTIAL,0.0,0,0,0,4.5,27.75,32.25,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,65.0,65.0,3
ELECTRICAL,RESIDENTIAL,0.0,0,0,0,0.0,140.0,140.0,1
